commentCount,dislikeCount,etag,favoriteCount,id,likeCount,viewCount
360,145,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/aTFoUsTw1B9kGUgdPNOEefj0RwU""",0,OFKFUJ9eDNs,3699,696981
269,45,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/0G5Aqonl8-C07jyZg5XoTVOHn1k""",0,wJmi7-G9r-w,1290,142664
89,24,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ISatYSaLGzy8EjzrCJh11Li4F48""",0,l141Y0x8om0,1183,182517
484,91,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Nn0FU2U76lc-qJxjgXacuFztuLs""",0,O6L5YPt9CeU,4406,507716
202,33,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/EUWzwOa_TYQ4JIWMRPlgu41a5N8""",0,XlwfcXZ0AIU,1685,147154
1058,564,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/txC5iXsLIO9G3jtJKa0hnf9UavY""",0,BW2wKKFvH1g,14105,2113686
666,254,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/7tpMg0_t2ncWg1ow1dOG-mLBOGw""",0,8ysFkNYwhAE,7449,1173077
230,41,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/zV-2RhGgZdl6JGQclPZeH4DLGPo""",0,3CDg_9gL-5M,1706,186641
124,34,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/p6zdcAbxtCONcUTZ96LB2xVEbzA""",0,xj8xsTSkbUk,1247,148443
225,84,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WuDPaqRg5WCiF5LQUaztIeUE7Kg""",0,6evqNlOO7Bw,2546,378530
378,64,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/vJ1wJH0pd5uZQLT_97xnWETQXrY""",0,GpA9UM7QGag,2897,287651
1371,243,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/dq_P0NOVNDXYkkolhf5fYFQCaOw""",0,wdr4t7cQW2U,7791,1169181
393,146,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ZrNcxgiMN23b4dS5wwNk_E7jiFk""",0,aA8RhtaWACA,4892,573848
244,17,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Tn0lq06LhQZckOudMMWNHq-XYck""",0,Ov5oIHTAa10,1414,135168
225,22,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/kHTGFCVlrm7H0br0auzkiQfTMqA""",0,mUJoNLWQ1yI,1523,144480
267,26,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Tj5SBQ4LJD3i3V9zaN8Ff_fUMJM""",0,lilbzLCNnDo,1645,125968
167,45,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/wm8sx6iERU58sDqmTxXPyo2wbDo""",0,Bcqyzo85A1o,1570,195858
5,0,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/ByLeYuWqxwNHNEkIkHnB_Di67BM""",0,iibr6K-XGJQ,120,20177
613,103,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/eukMPJ2a7Mc1cUu1J72jpWL8CRY""",0,iRMsb9Vf7GM,6371,465492
302,120,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/CgxPxwcMA2CQ28abSJG7ai0MEzQ""",0,OJ_xqtvZf3o,3608,477228
690,138,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/hblcXaea4ym0-BWv8erYPTwCKY4""",0,uEUMVwc4o5U,5797,588419
351,86,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/kHSjW-GTBir318EgmB-l78t9P6M""",0,DqhzxdkdQS0,3229,442017
492,233,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/qBMY51GhiAgXUOSq80pi49zqSwQ""",0,0FYfo94qefg,7355,974800
315,33,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/eCfi7DQCpHtNkmuKIYJ9ZovJXdo""",0,gYuH4Ilqdhs,1757,162845
217,20,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/O6xzGXEdhEVL8anbqrPhZgQvz9o""",0,sDdpc8uisD0,1986,197758
384,96,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Rz87LcRatfsdsnVjcSXBMUkpXu0""",0,fBh1nA4pMDY,4758,449081
361,58,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/fBt9c6YzWqauNBPg__teEb8F-kQ""",0,7R9HcaDT9P4,2316,236228
221,48,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/04P94UJ4HXW2rTNxIeKtLUyFmHg""",0,LeIVNKnWz7o,1943,187633
182,48,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/I4qXtMnqX143VABy35rO0sUxvbk""",0,spFwCh2616s,1803,171014
9800,1385,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/g9n-4WEcjLkO0wYTiThw0pcEZjI""",0,mT0RNrTDHkI,63498,5620800
389,80,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/yLD3zTG8xyyFsrrxUNkz8P0zUGs""",0,Y7SDU4i6Fco,5325,325118
239,72,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/mcleHm4H5o4L-gqow1bozj3eDOA""",0,87MMbN1bQCs,2333,292451
235,40,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/gK3DkOG0HXUsMwiPK9o303ad_Ek""",0,wc_YVijYjT4,2138,167040
301,61,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/hBiMH4Ex8XXRLJZptC7V3nr7OSQ""",0,1l_TsfCIb_I,2451,238566
302,107,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/386QJjFrIi52uu539Mr0EA71pzU""",0,Vx6v47gHBWM,4289,530416
273,40,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/8WclnyRS3mvx8mGM8wtvY1qKDrk""",0,C34WAUgkAT0,1918,164737
620,192,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/rsO0MSaCi1XpSs626nO9jDG8YRY""",0,DFSIQNjKRfk,7783,972910
391,30,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/WivyBruk_24i8eGshJc3bZMIx0k""",0,0pwoixRikn4,3676,308540
141,51,"""DuHzAJ-eQIiCIp7p4ldoVcVAOeY/Q7iuWGpqgNGdyVFlF4_4FoPq1dM""",0,OHSm8kLE7js,1413,286150
