id,title,viewCount,likeCount,favoriteCount,dislikeCount,commentCount,episode_title,season_num,episode_num
obSLZWXmDak,Bob Ross - Snowbound Cabin (Season 24 Episode 13),150003,1754,0,35,222,snowbound cabin,24,13
HuHC1RqtvDA,Bob Ross - Daisy Delight (Season 11 Episode 3),95807,939,0,16,129,daisy delight,11,3
TM5qETFUP7M,The Bob Ross Documentary - Trailer,27475,213,0,3,31,,,
ODrV0dfQcNs,Bob Ross - Woodman's Retreat (Season 29 Episode 13),148462,2197,0,46,346,,,
2gq2V6dCt2I,Bob Ross - Quiet Mountain Lake (Season 19 Episode 2),164050,1516,0,27,180,quiet mountain lake,19,2
Leiw-FtADZc,Bob Ross - Quiet Mountains River (Season 12 Episode 7),57003,799,0,12,121,quiet mountains river,12,7
KsDPg5HZYNw,Bob Ross - Downstream View (Season 25 Episode 9),157733,1471,0,30,218,downstream view,25,9
d50HkqB9JEM,Bob Ross - Scenic Seclusion (Season 19 Episode 8),105732,1346,0,24,232,scenic seclusion,19,8
VAdMkf-AAPM,Bob Ross - Autumn Days (Season 4 Episode 12),82491,1206,0,9,155,autumn days,4,12
ZyPNzDaaDt8,Bob Ross - Hidden Delight (Season 20 Episode 12),81691,1112,0,14,151,hidden delight,20,12
FPW2FwK4IOo,Bob Ross - Wayside Pond (Season 24 Episode 2),103593,1127,0,21,225,wayside pond,24,2
N_u6x7LeyTM,Bob Ross - Not Quite Spring (Season 25 Episode 3),122923,1306,0,38,224,not quite spring,25,3
q48EWPrbzVs,Bob Ross - Mountain Hideaway (Season 9 Episode 13),68415,988,0,17,184,mountain hideaway,9,13
uY3fIry2tOE,Bob Ross - Half-Oval Vignette (Season 18 Episode 1),105758,1092,0,26,239,,,
enutOy-nsZk,Bob Ross - Home in the Valley (Season 30 Episode 8),1088860,6711,0,196,1171,home in the valley,30,8
vbPdQ0w8ylg,Bob Ross - New Day's Dawn (Season 20 Episode 2),101526,1562,0,17,288,,,
Qj6lMtnCt8o,Bob Ross - Mountain Oval (Season 10 Episode 9),750561,8664,0,166,1725,mountain oval,10,9
aE4nID1p-t0,Bob Ross - Russet Winter (Season 22 Episode 5),110394,1193,0,33,188,russet winter,22,5
6afHY2d9Lv8,Bob Ross - Autumn Exhibition (Season 18 Episode 5),84206,891,0,17,164,autumn exhibition,18,5
dbMJVM4iL2Q,Bob Ross - Wintertime Blues (Season 22 Episode 10),73750,1037,0,11,150,wintertime blues,22,10
ov4YaCQB9co,Bob Ross - Winter Solitude (Season 10 Episode 7),102964,927,0,11,131,winter solitude,10,7
AmBDmgta3l4,Bob Ross - Icy Lake (Season 24 Episode 9),102459,1267,0,27,359,icy lake,24,9
qXElmiqzcI0,Bob Ross - Golden Glow of Morning (Season 27 Episode 13),709451,5818,0,121,468,golden glow of morning,27,13
7t6ue0pEcNE,Bob Ross - Tranquility Cove (Season 31 Episode 4),177317,2200,0,43,279,tranquility cove,31,4
H4VsmKU5T7g,Bob Ross - Mountain Rhapsody (Season 21 Episode 6),91037,883,0,22,187,mountain rhapsody,21,6
a6Wil3OXNuI,Bob Ross - Cabin at Sunset (Season 10 Episode 2),316972,2613,0,81,339,cabin at sunset,10,2
3q8Zi9480lw,Bob Ross - Rustic Winter Woods (Season 27 Episode 3),184752,1928,0,38,238,rustic winter woods,27,3
8tHHBTK6wwc,Bob Ross - By the Sea (Season 21 Episode 8),104975,1058,0,19,190,by the sea,21,8
qg9c1SqdRko,Bob Ross - Winter Stillness (Season 5 Episode 4),67640,925,0,8,120,winter stillness,5,4
2zv_S_uVoVQ,Bob Ross - Pot O' Posies (Season 29 Episode 10),178177,2182,0,69,326,,,
9wp8NRzCJnw,Bob Ross - Country Charm (Season 9 Episode 10),88281,1062,0,13,147,country charm,9,10
_xkn0ceDreo,Bob Ross - Winter Barn (Season 11 Episode 9),91472,874,0,17,136,winter barn,11,9
2bjFmSQjQrw,Bob Ross - Deep Forest Lake (Season 15 Episode 12),82126,1029,0,13,158,deep forest lake,15,12
NqfRLiv0SZ0,Bob Ross - Soothing Vista (Season 17 Episode 3),179570,2007,0,27,352,soothing vista,17,3
vGsW_6BCukU,Bob Ross - Wilderness Trail (Season 30 Episode 4),123062,1642,0,24,218,wilderness trail,30,4
iB1TDWlo0kk,Bob Ross - Snowy Morn (Season 19 Episode 4),113543,1290,0,28,208,snowy morn,19,4
aR-C3h5zURM,Bob Ross - Bright Autumn Trees (Season 12 Episode 4),83552,888,0,18,135,bright autumn trees,12,4
FdIUHudQABI,Bob Ross - Cypress Swamp (Season 25 Episode 8),101118,1008,0,12,185,cypress swamp,25,8
XWQrP-WiLgc,Bob Ross - Trail's End (Season 31 Episode 8),129617,2059,0,31,277,,,
V_l6olF3yHI,Bob Ross - Mountain Range (Season 8 Episode 11),187852,2111,0,35,368,mountain range,8,11
Cg3XAVhAas0,Bob Ross - Island Paradise (Season 27 Episode 9),92408,1268,0,21,182,island paradise,27,9
COsJUfPN2dA,Bob Ross - Forest Down Oval (Season 15 Episode 10),84893,1139,0,24,181,forest down oval,15,10
ikR7UT9mVBw,Bob Ross - Enchanted Forest (Season 18 Episode 11),103483,1289,0,27,193,enchanted forest,18,11
R7Y3izMFPbM,Bob Ross - Crimson Oval (Season 18 Episode 4),85460,984,0,17,157,crimson oval,18,4
HFdTxqEznIk,Bob Ross - At Dawn's Light (Season 23 Episode 7),90825,1269,0,27,141,,,
Kl5X3icOVvw,Bob Ross - Around the Bend (Season 22 Episode 3),108171,1101,0,27,144,around the bend,22,3
bSm3fmEyJ20,Bob Ross - The Magic of Fall (Season 28 Episode 5),168040,2825,0,32,298,the magic of fall,28,5
nJGCVFn57U8,Bob Ross - Wilderness Day (Season 31 Episode 13),1159171,22205,0,329,4949,wilderness day,31,13
BbYO579MmhA,Bob Ross - A Mild Winter's Day (Season 17 Episode 6),278143,2903,0,43,507,,,
gnp6WE7Ql-s,Bob Ross - Contemplative Lady (Season 16 Episode 6),316064,4051,0,103,527,contemplative lady,16,6
ZHUdS0wEaKk,Bob Ross - Babbling Brook (Season 30 Episode 1),108943,1467,0,30,229,babbling brook,30,1
CY6sGFs209E,Bob Ross - Seaside Harmony (Season 30 Episode 10),158738,2258,0,32,340,seaside harmony,30,10
VqMbL00eZqw,Bob Ross - Dark Waterfall (Season 7 Episode 13),68807,877,0,17,108,dark waterfall,7,13
0mJqzzeWyXs,Bob Ross - Twilight Beauty (Season 27 Episode 1),241168,3025,0,91,424,twilight beauty,27,1
wKeemvioVrM,Bob Ross - Snow Birch (Season 26 Episode 7),154043,2356,0,28,385,snow birch,26,7
BQWJ3kqonpA,Bob Ross - Shadow Pond (Season 14 Episode 11),82842,1079,0,14,163,shadow pond,14,11
4abDq6Q-mlM,Bob Ross - Tranquil Dawn (Season 21 Episode 2),100282,978,0,19,132,tranquil dawn,21,2
PGPVpil2UmE,Bob Ross - Absolutely Autumn (Season 18 Episode 2),117818,1258,0,34,246,absolutely autumn,18,2
q5moLoqOkP0,Bob Ross - That Time of Year (Season 16 Episode 10),92099,1050,0,31,227,that time of year,16,10
Me9Ietooq4w,Bob Ross - Colors of Nature (Season 15 Episode 2),104637,1048,0,22,148,colors of nature,15,2
Hg5RKc6xiL4,Bob Ross - Pathway to Autumn (Season 15 Episode 11),46372,586,0,11,141,pathway to autumn,15,11
vPwsk9lhyqw,Jane Seymour - Bob Ross: The Happy Painter.,15719,720,0,22,117,,,
G7Etn7QMeO4,Bob Ross - Countryside Barn (Season 29 Episode 5),135973,1850,0,28,439,countryside barn,29,5
i29frkR1T98,Bob Ross - Mirrored Images (Season 24 Episode 6),69223,904,0,10,157,mirrored images,24,6
NJbzIftLLmU,Bob Ross - Lone Mountain (Season 21 Episode 12),94410,1281,0,15,171,lone mountain,21,12
QbclL1ca7_s,Bob Ross - Surprising Falls (Season 14 Episode 10),114014,1205,0,32,248,surprising falls,14,10
hdNH5axK4u0,Bob Ross - Countryside Oval (Season 22 Episode 4),55970,748,0,20,136,countryside oval,22,4
ivesI3rU7dU,Bob Ross - The Property Line (Season 25 Episode 13),59176,825,0,17,117,the property line,25,13
46vI20697HI,Bob Ross - Winter Mountain (Season 12 Episode 13),43654,700,0,11,131,winter mountain,12,13
XvnJBynSiT0,Bob Ross - Rippling Waters (Season 18 Episode 13),96682,1082,0,16,178,rippling waters,18,13
puGk2iFvvp0,Bob Ross - Forest Edge (Season 23 Episode 2),398527,5182,0,69,558,forest edge,23,2
LEz4UVL7POE,Bob Ross - Misty Foothills (Season 30 Episode 6),115375,2505,0,27,297,misty foothills,30,6
ddU9vQvSpw8,Bob Ross - Misty Forest Oval (Season 14 Episode 12),88046,1154,0,12,100,misty forest oval,14,12
07acfzBaoa0,Bob Ross - Lake View (Season 17 Episode 9),94087,1328,0,34,317,lake view,17,9
MCwGOMloBPk,Bob Ross: The Happy Painter - Full Documentary,61117,4225,0,29,471,,,
K4aud_SpFDQ,Bob Ross - Pastel Seascape (Season 22 Episode 11),228668,3083,0,43,356,pastel seascape,22,11
8f9CCnqJ_1Y,Bob Ross - Reflections of Gold (Season 23 Episode 4),75419,1004,0,23,128,reflections of gold,23,4
HWrvW-NgaOY,Bob Ross - Autumn Palette (Season 25 Episode 7),76031,802,0,25,93,autumn palette,25,7
kN1DP_yqs-A,Bob Ross - Tranquil Seas (Season 28 Episode 11),93871,1204,0,15,155,tranquil seas,28,11
cFi_fJl40BA,Bob Ross - Toward Days End (Season 23 Episode 9),59716,831,0,12,138,toward days end,23,9
eaMR7E6Y4K8,Bob Ross - Royal Majesty,40550,302,0,0,22,,,
_TTdw3YnXuo,Bob Ross - A Warm Winter (Season 28 Episode 2),143795,2211,0,23,309,a warm winter,28,2
ZoJ2tcXWb7g,Bob Ross - Purple Haze (Season 22 Episode 6),173425,2545,0,39,394,purple haze,22,6
xpNrn0_97LM,Bob Ross feeds Peapod the squirrel,104424,1974,0,5,144,,,
IiLU4Ox-cqc,Phil Donahue - Bob Ross: The Happy Painter.,8944,371,0,9,49,,,
OO9RnpN48dU,Bob Ross: An Ocean Breeze,39999,242,0,5,11,,,
YcbaMqq_X8s,Bob Ross - Splashes of Autumn (Season 25 Episode 4),75741,1005,0,11,177,splashes of autumn,25,4
yInYwy6AsDQ,Bob Ross - Winter Bliss (Season 23 Episode 13),45856,1252,0,56,170,winter bliss,23,13
